date, stock, share, price
2017-12-30, 中国平安, 7200, 69.98
2018-01-07, 平安银行, -2000, 9.67
2018-01-07, 新华保险, 800, 28.45
2018-01-21, 平安转债, 39, 100
2018-01-25, 江银转债, 0, 6
2018-01-28, 中国平安, -300, 61.89
2019-02-28, 交通银行, 3300, 6.42

N/A, 中国平安, 0, 67.76
N/A, 平安银行, 0, 12.05
N/A, 航电转债, 0, 100
N/A, 江银转债, 0, 100
N/A, 兴业银行, 0, 17.86
N/A, 嘉实元和, 0, 1.054
N/A, 上证指数, 0, 3259.41
N/A, 证券ETF, 0, 0.906
N/A, 常熟转债, 0, 106.30
N/A, 江银转债, 0, 98.66
N/A, 南京证券, 0, 3.79
