date, type, money, budget, msg
2017-04, 日常消费, 2260.55, 4000
2017-04, 居家物业, 116.85
2017-04, 医疗保健, 135.00
2017-04, 休闲娱乐, 1450.60, 1400, 哈尔滨1月出行800多计算到本月
2017-04, 油费, 0, 600
